iata,name,country,continent,comment
9T,Air ACT,Turkey,Asie,
9U,Air Moldova,Moldova,Europe,
9V,Vipair Airlines,Kazakhstan,Asie,defunct
9W,Jet Airways,India,Asie,
9Y,Fly Georgia,Georgia,Europe,
A0,Avianca Argentina,Argentina,South America,Owned by
A2,Animawings,Romania,Europe,
A3,Aegean Airlines,Greece,Europe,
A4,Southern Winds Airlines,Argentina,South America,
A5,Airlinair,France,Europe,
A6,Air Alps Aviation,Austria,Europe,
A7,Air Plus Comet,Spain,Europe,
A8,Aerolink Uganda,Uganda,Africa,
A9,Georgian Airways,Georgia,Europe,
AA,American Airlines,United States,North America,
AB,Bonza,Australia,Oceania,
AC,Air Canada,Canada,North America,
AD,Azul Linhas Aéreas Brasileiras,Brazil,South America,
AE,Mandarin Airlines,Taiwan,Asie,
AF,Air France,France,Europe,
AG,ASL Airlines Ireland,Ireland,Europe,"Former IATA Code: AG; former names: Hunting Air Cargo Airlines, Air Contractors"
AH,Air Algérie,Algeria,Africa,
AI,Air India,India,Asie,
AJ,Aero Contractors,Nigeria,Africa,
AK,AirAsia,Malaysia,Asie,ICAO code no longer allocated
AL,Skywalk Airlines,United States,North America,(Astral Aviation)
AM,Aeroméxico,Mexico,North America,
AN,Advanced Air,United States,North America,2015
AP,AlbaStar,Spain,Europe,
AQ,MAP-Management and Planung,Austria,Europe,
AR,Aerolíneas Argentinas,Argentina,South America,
AS,"Alaska Airlines, Inc.",United States,North America,
AT,Royal Air Maroc,Morocco,Africa,
AU,Austral Líneas Aéreas,Argentina,South America,
AV,Avianca,Colombia,South America,
AW,Africa World Airlines,Ghana,Africa,
AX,AmericanConnection,United States,North America,
AY,Finnair,Finland,Europe,
AZ,Alitalia,Italy,Europe,defunct
B2,Belavia,Belarus,Europe,
B3,Bellview Airlines,Nigeria,Africa,
B4,BACH Flugbetriebsges,Austria,Europe,
B6,JetBlue Airways,United States,North America,
B7,UNI Air,Taiwan,Asie,
B8,Eritrean Airlines,Eritrea,Africa,
BA,British Airways,United Kingdom,Europe,
BB,Seaborne Airlines,United States,North America,
BC,Skymark Airlines,Japan,Asie,
BD,BMI,United Kingdom,Europe,Ceased operations
BE,Flybe,United Kingdom,Europe,
BF,Aero-Service,Republic of the Congo,Africa,
BG,Biman Bangladesh Airlines,Bangladesh,Asie,
BH,Hawkair,Canada,North America,defunct since 2016
BI,Royal Brunei Airlines,Brunei,Asie,
BJ,Nouvel Air Tunisie,Tunisia,Africa,
BK,Potomac Air,United States,North America,
BL,Pacific Airlines,Vietnam,Asie,
BM,BMI Regional,United Kingdom,Europe,
BN,Braniff International Airways,United States,North America,defunct
BO,Bluebird Nordic,Iceland,Europe,
BP,Air Botswana,Botswana,Africa,
BQ,Baltia Air Lines,United States,North America,"Callsign changed from ""BALTIA FLIGHT"" in 2015"
BR,EVA Air,Taiwan,Asie,
BS,British International Helicopters,United Kingdom,Europe,
BT,Air Baltic,Latvia,Europe,
BU,Buryat Airlines Aircompany,Russia,Europe,
BV,Blue Panorama Airlines,Italy,Europe,
BW,Caribbean Airlines,Trinidad and Tobago,North America,
BX,Air Busan,South Korea,Asie,
BY,TUI  Airways,United Kingdom,Europe,"Formerly ""TOMSON"""
BZ,Blue Dart Aviation,India,Asie,
C3,Independent Carrier (ICAR),Ukraine,Europe,
C4,Zimex Aviation,Switzerland,Europe,
C5,CommutAir,United States,North America,
C6,CanJet,Canada,North America,
C7,Cinnamon Air,Sri Lanka,Asie,
C8,Cargolux Italia,Italy,Europe,
C9,Cirrus Airlines,Germany,Europe,defunct
CA,Air China,China,Asie,
CB*,Kalitta Charters II,United States,North America,"Operates B727-200's, DC9-15 & 30, B737-400's"
CC,Air Atlanta Icelandic,Iceland,Europe,
CD,Corendon Dutch Airlines,Netherlands,Europe,
CE,Nationwide Airlines,South Africa,Africa,
CG,Airlines PNG,Papua New Guinea,Oceania,
CH,Bemidji Airlines,United States,North America,
CI,China Airlines,Taiwan,Asie,
CJ,BA CityFlyer,United Kingdom,Europe,
CK,China Cargo Airlines,China,Asie,
CL,Lufthansa CityLine,Germany,Europe,
CM,Copa Airlines,Panama,North America,
CN,Islands Nationair,Papua New Guinea,Oceania,
CO,Continental Airlines,United States,North America,"ICAO Code and callsign withdrawn, merged with"
