iata,name,city,country,continent,timezone
DNU,Dinangat Airport,Dinangat,Papua New Guinea,Oceania,UTC+10:00
DNV,Vermilion Regional Airport,Danville,United States,North America,UTC−06:00
DNX,Galegu Airport,Dinder,Sudan,Africa,UTC+03:00
DNZ,Denizli Çardak Airport,Denizli,Turkey,Asia,UTC+03:00
DOA,Doany Airport,Doany,Madagascar,Africa,UTC+03:00
DOB,Dobo Airport,Dobo,Indonesia,Asia,UTC+09:00
DOC,Dornoch Airfield,Dornoch,United Kingdom,Europe,UTC±00:00
DOD,Dodoma Airport,Dodoma,Tanzania,Africa,UTC+03:00
DOE,Djoemoe Airstrip,Djoemoe,Suriname,South America,UTC−03:00
DOG,Dongola Airport,Dongola,Sudan,Africa,UTC+03:00
DOH,Hamad International Airport,Doha,Qatar,Asia,UTC+03:00
DOI,Doini Island Airport,Doini Island,Papua New Guinea,Oceania,UTC+10:00
DOK,Donetsk International Airport,Donetsk,Ukraine,Europe,UTC+03:00
DOL,Deauville – Saint-Gatien Airport,Deauville,France,Europe,UTC+01:00
DOM,Douglas–Charles Airport,St Andrew Parish,Dominica,North America,UTC−04:00
DON,Dos Lagunas Airport,Dos Lagunas,Guatemala,North America,UTC−06:00
DOO,Dorobisoro Airstrip,Dorobisoro,Papua New Guinea,Oceania,UTC+10:00
DOP,Dolpa Airport,Dolpa,Nepal,Asia,UTC+05:45
DOR,Dori Airport,Dori,Burkina Faso,Africa,UTC±00:00
DOS,Dios Airport,Dios,Papua New Guinea,Oceania,UTC+11:00
DOU,Dourados Airport,Dourados,Brazil,South America,UTC−04:00
DOV,Dover Air Force Base,Dover,United States,North America,UTC−05:00
DOX,Dongara Airport,Dongara,Australia,Oceania,UTC+08:00
DOY,Dongying Shengli Airport,Dongying,China,Asia,UTC+08:00
DPA,DuPage Airport,West Chicago,United States,North America,UTC−06:00
DPB,Pampa Guanaco Airport,Camerón,Chile,South America,UTC−04:00
DPE,Dieppe - Saint-Aubin Airport,Dieppe,France,Europe,UTC+01:00
DPG,Michael Army Airfield,Dugway,United States,North America,UTC−07:00
DPL,Dipolog Airport,Dipolog,Philippines,Asia,UTC+08:00
DPO,Devonport Airport,Devonport,Australia,Oceania,UTC+10:00
DPS,Ngurah Rai International Airport,Denpasar, (Bali),Asia,UTC+08:00
DPT,Deputatsky Airport,Deputatsky,Russia,Asia,UTC+10:00
DPU,Dumpu Airport,Dumpu,Papua New Guinea,Oceania,UTC+10:00
DQA,Daqing Sartu Airport,Daqing,China,Asia,UTC+08:00
DQM,Duqm International Airport,Duqm,Oman,Asia,UTC+04:00
DRA,Desert Rock Airport,Mercury,United States,North America,UTC−08:00
DRB,Derby Airport,Derby,Australia,Oceania,UTC+08:00
DRC,Dirico Airport,Dirico,Angola,Africa,UTC+01:00
DRD,Dorunda Airport,Dorunda,Australia,Oceania,UTC+10:00
DRE,Drummond Island Airport,Drummond Island,United States,North America,UTC−05:00
DRF,Drift River Airport,Drift River,United States,North America,UTC−09:00
DRG,Deering Airport,Deering,United States,North America,UTC−09:00
DRH,Dabra Airport,Dabra,Indonesia,Asia,UTC+09:00
DRI,Beauregard Regional Airport,DeRidder,United States,North America,UTC−06:00
DRJ,Drietabbetje Airstrip,Drietabbetje,Suriname,South America,UTC−03:00
DRK,Drake Bay Airport,Drake Bay,Costa Rica,North America,UTC−06:00
DRN,Dirranbandi Airport,Dirranbandi,Australia,Oceania,UTC+10:00
DRO,Durango–La Plata County Airport,Durango,United States,North America,UTC−07:00
DRP,Bicol International Airport,"Daraga, Albay","Daraga, Albay",Asia,UTC+8:00
DRR,Durrie Airport,Durrie,Australia,Oceania,UTC+10:00
DRS,Dresden Airport,Dresden,Germany,Europe,UTC+01:00
DRT,Del Rio International Airport,Del Rio,United States,North America,UTC−06:00
DRU,Drummond Airport,Drummond,United States,North America,UTC−07:00
DRV,Dharavandhoo Airport,Dharavandhoo Island,Maldives,Asia,UTC+05:00
DRW,Darwin International Airport,Darwin,Australia,Oceania,UTC+09:30
DRY,Drysdale River Airport,Drysdale River,Australia,Oceania,UTC+08:00
DSA,Robin Hood Airport Doncaster Sheffield,Doncaster,United Kingdom,Europe,UTC±00:00
DSC,Dschang Airport,Dschang,Cameroon,Africa,UTC+01:00
DSD,La Désirade Airport,La Désirade,Guadeloupe,Oceania,UTC−04:00
DSE,Combolcha Airport,Dessie,Ethiopia,Africa,UTC+03:00
DSG,Dilasag Airport,Dilasag,Philippines,Asia,UTC+08:00
DSI,Destin Executive Airport,Destin,United States,North America,UTC−06:00
DSK,Dera Ismail Khan Airport,Dera Ismail Khan,Pakistan,Asia,UTC+05:00
DSM,Des Moines International Airport,Des Moines,United States,North America,UTC−06:00
DSN,Ordos Ejin Horo Airport,Ordos,China,Asia,UTC+08:00
DSO,Sondok Airport,Sondok,North Korea,Asia,UTC+08:30
DSS,Blaise Diagne International Airport,Dakar,Senegal,Africa,UTC±00:00
DSV,Dansville Municipal Airport,Dansville,United States,North America,UTC−05:00
DSX,Dongsha Island Airport,Pratas (Tungsha/Dongsha) Island,Taiwan,Asia,UTC+08:00
DTA,Delta Municipal Airport,Delta,United States,North America,UTC−07:00
DTB,Silangit Airport,Siborong-Borong,Indonesia,Asia,UTC+07:00
DTD,Datadawai Airport,Datadawai,Indonesia,Asia,UTC+08:00
DTE,Bagasbas Airport,Daet,Philippines,Asia,UTC+08:00
DTH,Furnace Creek Airport,Death Valley,United States,North America,UTC−08:00
DTI,Diamantina Airport,Diamantina,Brazil,South America,UTC−03:00
DTL,Detroit Lakes Airport,Detroit Lakes,United States,North America,UTC−06:00
DTM,Dortmund Airport,Dortmund,Germany,Europe,UTC+01:00
DTN,Shreveport Downtown Airport,Shreveport,United States,North America,UTC−06:00
DTR,Decatur Shores Airport,Decatur Island,United States,North America,UTC−08:00
DTU,Wudalianchi Airport,Wudalianchi,China,Asia,UTC+08:00
DTW,Detroit Metropolitan Wayne County Airport,Detroit,United States,North America,UTC−05:00
DUA,Durant Regional Airport–Eaker Field,Durant,United States,North America,UTC−06:00
DUB,Dublin Airport,Dublin,Ireland,Europe,UTC±00:00
DUC,Halliburton Field,Duncan,United States,North America,UTC−06:00
DUD,Dunedin International Airport,Dunedin,New Zealand,Oceania,UTC+12:00
DUE,Dundo Airport,Dundo,Angola,Africa,UTC+01:00
DUF,Pine Island Airport,Corolla,United States,North America,UTC−05:00
DUG,Bisbee Douglas International Airport,Bisbee,United States,North America,UTC−07:00
DUJ,DuBois Regional Airport,DuBois,United States,North America,UTC−05:00
DUK,Dukuduku Airport,Mtubatuba,South Africa,Africa,UTC+02:00
DUM,Pinang Kampai Airport,Dumai,Indonesia,Asia,UTC+07:00
DUQ,Duncan Airport,Duncan,Canada,North America,UTC−08:00
DUR,King Shaka International Airport,Durban,South Africa,Africa,UTC+02:00
DUS,Düsseldorf Airport,Düsseldorf,Germany,Europe,UTC+01:00
DUT,Unalaska Airport,Unalaska,United States,North America,UTC−09:00
DVD,Andavadoaka Airport,Andavadoaka,Madagascar,Africa,UTC+03:00
DVK,Diavik Airport,Diavik Diamond Mine,Canada,North America,UTC−07:00
DVL,Devils Lake Regional Airport,Devils Lake,United States,North America,UTC−06:00
DVN,Davenport Municipal Airport,Davenport,United States,North America,UTC−06:00
DVO,Francisco Bangoy International Airport,Davao City,Philippines,Asia,UTC+08:00
DVP,Davenport Downs Airport,Davenport Downs,Australia,Oceania,UTC+10:00
DVR,Daly River Airport,Daly River,Australia,Oceania,UTC+09:30
DVT,Phoenix Deer Valley Airport,Phoenix,United States,North America,UTC−07:00
DWA,Dwanga Airport,Dwangwa,Malawi,Africa,UTC+02:00
DWB,Soalala Airport,Soalala,Madagascar,Africa,UTC+03:00
DWC,Al Maktoum International Airport,Dubai,United Arab Emirates,Asia,UTC+04:00
DWD,Dawadmi Domestic Airport,Dawadmi,Saudi Arabia,Asia,UTC+03:00
DWH,David Wayne Hooks Memorial Airport,Houston,United States,North America,UTC−06:00
DWO,Diyawanna Oya Seaplane Base,Sri Jayawardenepura Kotte,Sri Lanka,Asia,UTC+05:30
DWR,Dwyer Airport,Camp Dwyer,Afghanistan,Asia,UTC+04:30
DXB,Dubai International Airport,Dubai,United Arab Emirates,Asia,UTC+04:00
DXD,Dixie Airport,Dixie,Australia,Oceania,UTC+10:00
DXE,Bruce Campbell Field,Madison,United States,North America,UTC−06:00
DXR,Danbury Municipal Airport,Danbury,United States,North America,UTC−05:00
DYA,Dysart Airport,Dysart,Australia,Oceania,UTC+10:00
DYG,Zhangjiajie Hehua Airport,Zhangjiajie,China,Asia,UTC+08:00
DYL,Doylestown Airport,Doylestown,United States,North America,UTC−05:00
DYM,Diamantina Lakes Airport,Diamantina Lakes,Australia,Oceania,UTC+10:00
DYR,Ugolny Airport,Anadyr,Russia,Asia,UTC+12:00
DYS,Dyess Air Force Base,Abilene,United States,North America,UTC−06:00
DYU,Dushanbe International Airport,Dushanbe,Tajikistan,Asia,UTC+05:00
DYW,Daly Waters Airport,Daly Waters,Australia,Oceania,UTC+09:30
DZA,Dzaoudzi–Pamandzi International Airport,Dzaoudzi,Mayotte,Oceania,UTC+03:00
DZH,Dazhou Jinya Airport,Dazhou,China,Asia,UTC+08:00
DZI,Codazzi Airport,Codazzi,Colombia,South America,UTC−05:00
DZN,Zhezkazgan Airport,Zhezkazgan,Kazakhstan,Asia,UTC+06:00
DZO,Santa Bernardina International Airport,Durazno,Uruguay,South America,UTC−03:00
DZU,Dazu Air Base,Dazu,China,Asia,UTC+08:00
EAA,Eagle Airport,Eagle,United States,North America,UTC−09:00
EAB,Abbs Airport,Abbs,Yemen,Asia,UTC+03:00
EAE,Siwo Airport,Emae Island,Vanuatu,Oceania,UTC+11:00
EAL,Elenak Airport,"Mejato Island, Kwajalein Atoll",Marshall Islands,Oceania,UTC+12:00
EAM,Najran Domestic Airport,Najran,Saudi Arabia,Asia,UTC+03:00
EAN,Phifer Airfield,Wheatland,United States,North America,UTC−07:00
EAR,Kearney Regional Airport,Kearney,United States,North America,UTC−06:00
EAS,San Sebastián Airport,San Sebastián,Spain,Europe,UTC+01:00
EAT,Pangborn Memorial Airport,Wenatchee,United States,North America,UTC−08:00
EAU,Chippewa Valley Regional Airport,Eau Claire,United States,North America,UTC−06:00
EBA,Marina di Campo Airport,Elba Island,Italy,Europe,UTC+01:00
EBB,Entebbe International Airport,Entebbe,Uganda,Africa,UTC+03:00
EBD,El Obeid Airport,El Obeid,Sudan,Africa,UTC+03:00
EBG,El Bagre Airport,El Bagre,Colombia,South America,UTC−05:00
EBH,El Bayadh Airport,El Bayadh,Algeria,Africa,UTC+01:00
EBJ,Esbjerg Airport,Esbjerg,Denmark,Europe,UTC+01:00
EBL,Erbil International Airport,Erbil,Iraq,Asia,UTC+03:00
EBM,El Borma Airport,El Borma,Tunisia,Africa,UTC+01:00
EBN,Ebadon Airstrip,"Ebadon Island, Kwajalein Atoll",Marshall Islands,Oceania,UTC+12:00
EBO,Ebon Airport,Ebon Atoll,Marshall Islands,Oceania,UTC+12:00
EBS,Webster City Municipal Airport,Webster City,United States,North America,UTC−06:00
EBU,Saint-Étienne–Bouthéon Airport,Saint-Étienne,France,Europe,UTC+01:00
EBW,Ebolowa Airport,Ebolowa,Cameroon,Africa,UTC+01:00
ECA,Iosco County Airport,East Tawas,United States,North America,UTC−05:00
ECG,Elizabeth City Regional Airport,Elizabeth City,United States,North America,UTC−05:00
ECH,Echuca Airport,Echuca,Australia,Oceania,UTC+10:00
ECI,Costa Esmeralda Airport,Rivas,Nicaragua,North America,UTC−06:00
